DataId,ClienteId,ProdutoId,Quantidade,PrecoUnitario,PercentagemDesconto,ValorTotal,Canal
2022-10-29,123,46,3,122.06,35.00,366.18,Online
2023-06-07,123,21,5,85.52,43.00,427.62,Online
2021-02-10,124,67,5,154.26,15.00,771.32,Online
2021-10-23,124,75,2,657.30,30.00,1314.59,Online
2023-03-07,124,98,2,20.62,50.00,41.23,Online
2012-04-04,125,71,1,750.96,43.00,750.96,"Loja Física"
2014-04-19,125,111,2,525.01,13.00,1050.01,"Loja Física"
2017-11-24,125,153,4,353.31,33.00,1413.22,"Loja Física"
2018-02-12,125,59,5,114.26,43.00,571.29,"Loja Física"
2018-03-15,125,91,1,303.05,47.00,303.05,"Loja Física"
2019-05-22,125,113,4,286.87,27.00,1147.47,"Loja Física"
2025-03-16,126,14,5,46.81,25.00,234.05,Online
2022-01-11,128,73,5,57.76,14.00,288.80,Online
2022-02-11,131,115,2,589.52,14.00,1179.03,Online
2021-06-05,132,174,1,620.19,10.00,620.19,Online
2023-12-14,132,155,3,312.74,18.00,938.21,Online
2022-07-02,135,72,5,203.49,40.00,1017.46,Online
2023-10-05,135,80,5,37.39,2.00,186.97,Online
2022-02-14,136,85,3,340.14,4.00,1020.43,Online
2024-03-03,136,112,1,489.03,40.00,489.03,Online
2024-10-31,136,126,3,311.89,39.00,935.66,Online
2022-01-26,137,143,4,250.33,45.00,1001.31,Online
2024-01-26,138,130,4,172.38,42.00,689.53,Online
2024-06-21,138,31,1,432.66,38.00,432.66,Online
2025-01-25,138,11,2,469.39,17.00,938.78,Online
2021-12-02,140,161,2,422.85,42.00,845.69,Online
2022-07-01,141,68,2,694.23,44.00,1388.45,Online
2024-06-07,141,18,4,146.16,46.00,584.65,Online
2025-03-27,142,24,4,294.51,24.00,1178.05,Online
2024-07-03,143,158,4,28.76,38.00,115.02,Online
2021-03-12,144,54,5,47.66,7.00,238.28,Online
2021-12-21,145,14,2,341.51,25.00,683.01,Online
2022-05-14,145,72,5,254.14,44.00,1270.69,Online
2022-05-20,145,17,3,322.45,1.00,967.34,Online
2023-04-17,145,55,4,256.34,35.00,1025.35,Online
2023-11-05,145,130,1,1315.39,6.00,1315.39,Online
2010-05-10,147,20,5,102.93,34.00,514.63,"Loja Física"
2011-09-20,147,136,2,227.66,37.00,455.32,"Loja Física"
2012-05-18,147,57,3,314.98,20.00,944.95,"Loja Física"
2021-10-08,147,108,1,285.19,48.00,285.19,Online
2021-06-28,148,90,1,814.86,4.00,814.86,Online
2023-03-18,150,71,5,97.28,2.00,486.41,Online
2021-02-28,151,64,1,934.53,13.00,934.53,Online
2022-04-24,151,7,5,132.13,6.00,660.66,Online
2022-05-05,151,76,3,70.66,30.00,211.99,Online
2023-11-01,151,143,4,24.71,5.00,98.84,Online
2023-11-11,152,35,5,62.35,49.00,311.76,Online
2024-11-28,152,129,1,337.11,38.00,337.11,Online
2024-03-23,153,117,4,321.29,6.00,1285.16,Online
2021-07-15,154,115,4,148.22,42.00,592.87,Online
2022-12-02,154,174,4,365.92,49.00,1463.69,Online
2024-05-11,154,79,4,120.51,0.00,482.05,Online
2022-08-19,155,146,1,352.89,33.00,352.89,Online
2021-10-25,157,122,1,272.03,39.00,272.03,Online
2023-11-27,157,25,3,212.64,42.00,637.91,Online
2024-12-23,157,72,2,622.79,3.00,1245.58,Online
2023-08-10,159,172,3,280.10,5.00,840.31,Online
2022-07-19,161,17,4,31.23,12.00,124.90,Online
2021-05-21,162,94,4,120.44,26.00,481.76,Online
2023-07-22,162,118,2,627.05,21.00,1254.10,Online
2022-07-15,164,97,5,84.80,9.00,423.99,Online
2023-05-30,164,21,4,218.93,24.00,875.72,Online
2021-10-31,165,37,4,369.22,24.00,1476.88,Online
2023-04-22,165,21,2,138.63,15.00,277.26,Online
2024-12-03,165,69,5,41.96,24.00,209.78,Online
2022-02-27,166,161,5,183.07,44.00,915.35,Online
2021-09-09,167,78,5,92.60,47.00,462.99,Online
2022-04-29,167,112,2,233.92,44.00,467.83,Online
2022-08-20,167,68,1,181.09,15.00,181.09,Online
2024-09-02,168,163,4,268.26,2.00,1073.02,Online
2024-12-12,169,135,4,337.51,15.00,1350.02,Online
2021-07-18,170,88,4,98.34,8.00,393.34,Online
2021-11-22,170,68,5,65.05,45.00,325.23,Online
2023-01-03,170,136,1,1054.48,24.00,1054.48,Online
2023-06-27,171,139,1,469.12,16.00,469.12,Online
2023-08-27,171,94,2,548.19,7.00,1096.38,Online
2024-08-12,171,98,1,214.26,10.00,214.26,Online
2023-06-29,172,134,4,311.47,46.00,1245.88,Online
2022-09-14,174,62,2,32.07,34.00,64.13,Online
2023-10-01,174,51,3,241.65,34.00,724.95,Online
2024-05-29,175,164,2,639.40,38.00,1278.79,Online
2022-02-01,176,120,4,323.01,47.00,1292.04,Online
2022-04-29,176,37,1,533.20,14.00,533.20,Online
2022-12-30,176,141,5,165.62,12.00,828.10,Online
2022-01-05,177,32,3,486.39,19.00,1459.18,Online
2022-11-16,179,28,3,241.89,13.00,725.67,Online
2024-03-19,182,23,2,472.94,12.00,945.88,Online
2021-12-13,183,125,5,120.38,45.00,601.90,Online
2021-12-24,184,78,2,88.84,17.00,177.68,Online
2024-01-07,185,50,4,132.48,49.00,529.92,Online
2024-06-18,186,134,3,466.93,7.00,1400.78,Online
2021-02-18,187,95,3,57.63,6.00,172.88,Online
2023-09-07,189,28,1,641.60,8.00,641.60,Online
2024-02-07,190,148,1,561.52,36.00,561.52,Online
2022-12-28,191,162,5,127.54,50.00,637.69,Online
2023-07-17,192,113,2,537.47,0.00,1074.93,Online
2022-01-20,193,66,3,436.97,21.00,1310.90,Online
2021-11-11,194,97,3,326.98,22.00,980.94,Online
2023-05-22,194,106,5,192.32,47.00,961.60,Online
2023-08-04,194,38,1,877.66,12.00,877.66,Online
2025-01-16,194,166,2,360.94,0.00,721.87,Online
2023-11-28,195,9,3,272.56,39.00,817.68,Online
2025-01-12,196,98,1,1458.57,21.00,1458.57,Online
2023-04-21,198,165,3,357.97,27.00,1073.90,Online
2024-02-09,200,153,2,526.30,35.00,1052.59,Online
2024-12-28,200,172,3,335.33,44.00,1005.98,Online
2023-10-07,201,116,1,660.11,36.00,660.11,Online
2021-03-31,202,59,1,801.05,1.00,801.05,Online
2022-09-11,202,24,4,249.00,14.00,996.01,Online
2024-03-03,202,11,4,96.89,46.00,387.57,Online
2025-03-22,202,35,3,394.82,2.00,1184.47,Online
2015-03-26,203,105,4,130.13,32.00,520.51,"Loja Física"
2015-07-30,203,140,5,164.07,43.00,820.37,"Loja Física"
2015-09-12,203,76,4,11.66,37.00,46.65,"Loja Física"
2018-10-15,203,99,1,1081.73,1.00,1081.73,"Loja Física"
2018-12-31,203,129,3,210.34,16.00,631.02,"Loja Física"
2021-08-08,203,135,1,435.39,44.00,435.39,Online
2025-01-19,203,17,4,282.44,31.00,1129.76,Online
2015-04-30,204,125,2,144.59,1.00,289.18,"Loja Física"
2020-10-31,204,143,2,75.85,10.00,151.69,"Loja Física"
2021-09-03,204,28,1,1166.11,23.00,1166.11,Online
2021-03-24,205,137,4,54.45,36.00,217.80,Online
2021-06-29,205,86,4,271.16,24.00,1084.63,Online
2024-11-28,206,114,5,172.84,44.00,864.22,Online
2025-03-24,206,111,5,201.14,21.00,1005.70,Online
2022-06-06,207,126,4,252.65,19.00,1010.58,Online
2023-03-28,207,79,4,175.03,44.00,700.13,Online
2011-06-23,208,155,5,209.08,20.00,1045.41,"Loja Física"
2023-03-19,209,170,4,67.24,24.00,268.96,Online
2023-07-05,209,66,2,231.77,6.00,463.53,Online
2023-08-29,211,105,5,91.82,17.00,459.12,Online
2021-03-13,212,93,2,231.79,42.00,463.57,Online
2024-12-26,212,30,1,577.03,7.00,577.03,Online
2021-03-20,213,44,1,548.29,32.00,548.29,Online
2023-02-11,213,52,5,289.48,19.00,1447.39,Online
2022-06-22,215,112,5,107.72,1.00,538.60,Online
2021-06-04,216,158,2,470.80,28.00,941.60,Online
2022-06-11,216,122,2,601.64,36.00,1203.28,Online
2023-05-25,217,64,1,1282.32,16.00,1282.32,Online
2024-06-29,217,98,2,686.64,35.00,1373.27,Online
2023-05-31,219,102,1,394.96,3.00,394.96,Online
2022-10-11,220,133,3,346.63,5.00,1039.90,Online
2021-07-26,221,12,2,252.84,8.00,505.68,Online
2021-12-18,222,111,5,65.66,26.00,328.31,Online
2023-03-19,222,112,2,692.85,47.00,1385.70,Online
2022-02-03,223,148,4,25.83,26.00,103.33,Online
2021-08-11,225,64,2,462.24,40.00,924.48,Online
2022-06-25,226,160,1,243.35,41.00,243.35,Online
2023-01-25,226,15,5,290.06,35.00,1450.28,Online
2021-04-06,227,32,1,740.72,31.00,740.72,Online
2021-08-15,227,76,4,92.77,18.00,371.08,Online
2023-08-26,228,147,1,1307.53,3.00,1307.53,Online
2022-11-27,229,65,2,513.54,0.00,1027.07,Online
2024-11-02,229,119,2,25.36,23.00,50.72,Online
2021-02-20,231,175,2,369.88,22.00,739.76,Online
2024-03-08,232,106,2,709.11,1.00,1418.22,Online
2024-10-11,233,12,3,176.63,47.00,529.88,Online
2025-01-27,233,27,1,232.63,6.00,232.63,Online
2025-04-08,233,8,1,285.75,48.00,285.75,Online
2021-03-19,234,3,4,288.82,48.00,1155.26,Online
2021-12-03,234,45,2,245.10,4.00,490.20,Online
2021-12-03,234,132,4,311.02,19.00,1244.07,Online
2022-02-05,234,88,1,358.84,40.00,358.84,Online
2022-07-21,234,7,3,49.34,7.00,148.03,Online
2023-01-08,234,80,2,396.33,37.00,792.66,Online
2013-08-09,235,106,4,203.05,0.00,812.18,"Loja Física"
2014-06-16,235,129,1,365.75,47.00,365.75,"Loja Física"
2023-10-16,235,161,4,221.65,35.00,886.61,Online
2024-10-20,236,159,1,70.10,33.00,70.10,Online
2023-02-04,237,143,2,541.18,16.00,1082.36,Online
2023-09-24,237,43,2,347.47,47.00,694.93,Online
2023-01-30,239,30,1,954.03,3.00,954.03,Online
2021-03-16,241,95,4,59.83,46.00,239.30,Online
2024-10-04,241,58,1,746.82,34.00,746.82,Online
2024-10-22,241,52,5,43.22,26.00,216.08,Online
2024-06-05,242,172,3,79.42,28.00,238.27,Online
2024-03-24,244,33,5,185.52,21.00,927.61,Online
2021-12-03,245,109,2,623.70,30.00,1247.39,Online
2025-03-26,246,170,5,49.76,32.00,248.78,Online
2022-01-26,247,52,3,449.60,20.00,1348.79,Online
2022-06-08,248,1,4,211.86,30.00,847.45,Online
2024-02-11,249,63,5,177.25,31.00,886.25,Online
2021-08-13,250,48,4,188.72,11.00,754.89,Online
2021-12-11,250,119,4,39.54,5.00,158.16,Online
2021-11-05,251,34,5,130.09,25.00,650.45,Online
2022-06-14,252,59,5,263.52,32.00,1317.58,Online
2010-08-28,253,79,1,842.47,27.00,842.47,"Loja Física"
2011-09-10,253,15,5,197.47,28.00,987.37,"Loja Física"
2016-06-03,253,33,2,172.90,48.00,345.79,"Loja Física"
2017-06-23,253,71,4,97.09,9.00,388.34,"Loja Física"
2021-03-13,254,114,2,371.55,43.00,743.10,Online
2023-08-28,254,90,5,279.48,46.00,1397.39,Online
2021-02-10,255,151,2,196.49,13.00,392.98,Online
2025-02-21,255,146,2,220.02,7.00,440.04,Online
2023-06-06,257,167,5,191.63,27.00,958.13,Online
2021-07-24,259,41,4,251.07,30.00,1004.29,Online
2022-05-04,259,21,3,34.87,50.00,104.62,Online
2024-11-02,259,39,2,718.70,43.00,1437.39,Online
2021-06-28,260,79,1,756.17,21.00,756.17,Online
2021-10-24,260,59,5,102.59,37.00,512.95,Online
2022-06-18,260,125,3,352.98,18.00,1058.95,Online
2024-04-13,260,111,2,594.87,9.00,1189.73,Online
2023-06-24,261,85,5,10.84,47.00,54.21,Online
2023-07-01,262,123,3,370.30,26.00,1110.90,Online
2025-04-06,262,158,3,45.50,42.00,136.50,Online
2021-09-18,263,32,5,197.88,0.00,989.40,Online
2022-01-31,263,78,1,1290.61,25.00,1290.61,Online
2023-03-30,264,10,4,152.24,39.00,608.95,Online
2024-04-20,264,66,1,686.18,39.00,686.18,Online
2024-04-29,264,149,1,716.55,26.00,716.55,Online
2024-08-24,264,55,5,168.15,44.00,840.75,Online
2021-12-06,265,144,2,510.58,10.00,1021.15,Online
2022-06-13,265,128,5,96.06,20.00,480.30,Online
2024-09-17,265,112,3,481.96,9.00,1445.89,Online
2021-10-27,266,102,5,25.76,40.00,128.81,Online
2025-01-07,266,36,4,224.88,5.00,899.51,Online
2021-03-04,267,101,4,244.81,37.00,979.25,Online
2021-06-28,267,125,1,383.11,5.00,383.11,Online
2023-04-05,267,14,1,1414.35,10.00,1414.35,Online
2023-06-27,267,121,4,349.79,48.00,1399.14,Online
2024-06-06,270,168,2,576.64,21.00,1153.28,Online
2022-03-12,271,119,2,554.65,9.00,1109.29,Online
2022-06-13,271,20,4,110.56,6.00,442.25,Online
2022-02-06,272,44,1,644.29,37.00,644.29,Online
2025-02-16,272,35,2,347.12,30.00,694.23,Online
2024-09-12,273,146,3,350.88,2.00,1052.65,Online
2023-06-11,276,77,4,373.86,0.00,1495.43,Online
2025-01-26,276,60,3,40.98,36.00,122.95,Online
2023-07-17,277,6,1,198.04,42.00,198.04,Online
2024-02-02,277,32,3,178.95,3.00,536.86,Online
2023-03-03,278,73,1,530.63,7.00,530.63,Online
2025-01-23,278,19,5,19.65,49.00,98.27,Online
2022-01-23,279,158,4,240.99,31.00,963.95,Online
2022-03-06,279,123,2,234.21,46.00,468.41,Online
2024-08-02,279,24,1,77.72,33.00,77.72,Online
2022-06-25,280,59,4,294.73,42.00,1178.92,Online
2023-04-26,280,141,3,84.38,37.00,253.13,Online
2025-03-18,280,19,2,407.84,25.00,815.68,Online
2022-06-05,281,163,2,334.11,48.00,668.22,Online
2022-12-21,281,171,4,334.94,31.00,1339.75,Online
2024-10-31,281,22,3,422.04,30.00,1266.13,Online
2023-10-19,282,17,5,91.19,19.00,455.97,Online
2023-11-07,283,30,3,422.84,20.00,1268.52,Online
2022-06-20,284,42,5,230.92,42.00,1154.61,Online
2021-09-25,285,116,4,147.52,30.00,590.06,Online
2022-07-02,285,171,2,15.36,45.00,30.72,Online
2023-10-01,285,26,1,1345.11,24.00,1345.11,Online
2023-08-24,286,63,3,479.78,39.00,1439.33,Online
2023-09-15,286,98,1,129.53,46.00,129.53,Online
2023-12-20,287,109,4,47.42,18.00,189.69,Online
2025-02-03,287,46,1,1306.16,3.00,1306.16,Online
2021-07-21,288,147,5,122.52,10.00,612.62,Online
2021-11-08,288,128,2,214.00,33.00,428.00,Online
2022-03-28,288,33,1,524.13,28.00,524.13,Online
2022-12-22,288,170,1,768.16,41.00,768.16,Online
2022-06-04,290,76,2,208.77,36.00,417.54,Online
2024-09-01,290,130,4,328.15,28.00,1312.60,Online
2023-02-24,291,112,3,317.92,34.00,953.77,Online
2025-01-19,291,129,4,61.64,12.00,246.56,Online
2022-11-25,292,153,2,707.89,12.00,1415.77,Online
2015-07-18,293,72,4,50.89,30.00,203.57,"Loja Física"
2017-04-20,293,20,3,22.36,8.00,67.09,"Loja Física"
2020-08-08,293,74,4,241.60,6.00,966.40,"Loja Física"
2021-07-04,293,132,1,1066.06,26.00,1066.06,Online
2024-10-12,293,100,4,343.62,48.00,1374.46,Online
2022-01-15,295,171,3,375.41,32.00,1126.22,Online
2024-03-14,295,26,2,515.87,50.00,1031.74,Online
2023-04-25,296,145,2,727.27,39.00,1454.54,Online
2023-11-26,296,151,3,221.59,13.00,664.78,Online
2024-08-18,296,109,1,292.87,9.00,292.87,Online
2021-09-23,297,61,3,446.24,34.00,1338.72,Online
2012-07-23,298,32,2,59.68,15.00,119.36,"Loja Física"
2017-05-20,298,63,4,286.27,40.00,1145.09,"Loja Física"
2018-11-30,298,84,2,34.39,32.00,68.77,"Loja Física"
2020-03-23,298,108,4,181.08,17.00,724.32,"Loja Física"
2024-05-12,298,130,4,61.89,9.00,247.54,Online
2021-04-26,299,34,1,545.33,50.00,545.33,Online
2022-03-05,299,42,1,1218.92,49.00,1218.92,Online
2024-04-15,299,78,5,264.79,25.00,1323.97,Online
2024-11-08,299,82,4,28.43,48.00,113.71,Online
2025-01-19,299,64,5,244.07,2.00,1220.37,Online
2023-03-29,300,85,3,119.00,37.00,357.00,Online
2021-05-26,301,168,4,364.87,36.00,1459.48,Online
2022-06-21,301,70,4,211.92,26.00,847.68,Online
2022-12-18,301,156,2,13.72,49.00,27.44,Online
2021-08-23,303,69,3,330.65,17.00,991.96,Online
2022-06-22,305,149,4,373.50,48.00,1494.01,Online
2023-06-19,306,147,5,182.86,6.00,914.32,Online
2024-09-02,306,139,5,140.22,0.00,701.10,Online
2022-07-13,307,94,3,224.69,37.00,674.07,Online
2024-03-12,307,57,4,273.66,21.00,1094.63,Online
2024-05-02,307,112,1,22.81,9.00,22.81,Online
2023-01-29,308,155,3,307.61,39.00,922.83,Online
2021-12-29,309,38,4,266.08,19.00,1064.32,Online
2023-07-12,309,87,5,54.66,12.00,273.30,Online
2024-02-15,309,56,5,141.20,10.00,705.99,Online
2022-12-28,310,30,3,195.32,4.00,585.96,Online
2023-06-21,310,157,1,279.79,40.00,279.79,Online
2023-08-11,311,137,3,444.57,15.00,1333.71,Online
2025-01-28,312,161,4,331.60,32.00,1326.41,Online
2018-08-19,313,75,5,86.91,27.00,434.54,"Loja Física"
2022-05-12,313,97,2,739.72,42.00,1479.44,Online
2022-09-26,313,135,2,39.04,28.00,78.08,Online
2013-01-25,314,31,2,156.25,1.00,312.50,"Loja Física"
2014-11-07,314,100,1,119.07,0.00,119.07,"Loja Física"
2015-11-05,314,63,1,526.79,40.00,526.79,"Loja Física"
2018-12-01,314,12,2,72.77,47.00,145.53,"Loja Física"
2020-04-01,314,121,3,259.03,24.00,777.10,"Loja Física"
2023-07-21,314,49,4,338.31,49.00,1353.24,Online
2011-12-11,315,129,5,169.36,1.00,846.78,"Loja Física"
2014-08-22,315,110,3,334.15,19.00,1002.44,"Loja Física"
2021-06-01,315,38,4,31.81,8.00,127.24,Online
2024-02-06,315,60,5,285.25,0.00,1426.26,Online
2022-07-20,316,71,1,253.05,6.00,253.05,Online
2022-09-14,316,138,5,137.02,26.00,685.11,Online
2023-08-09,316,77,5,11.22,4.00,56.12,Online
2021-05-19,317,48,4,372.70,35.00,1490.80,Online
2022-01-22,317,26,4,331.44,14.00,1325.76,Online
2024-11-27,317,15,1,949.94,4.00,949.94,Online
2021-01-09,318,129,1,1445.15,50.00,1445.15,Online
2021-02-05,318,77,4,39.03,12.00,156.13,Online
2022-03-29,318,68,3,252.10,22.00,756.29,Online
2022-09-22,318,120,5,120.58,12.00,602.88,Online
2025-03-09,318,63,2,515.33,13.00,1030.66,Online
2021-12-31,320,156,1,781.33,23.00,781.33,Online
2022-09-16,320,66,2,305.54,45.00,611.08,Online
2022-11-18,321,16,1,886.92,29.00,886.92,Online
2023-04-30,321,79,3,134.50,24.00,403.51,Online
2023-12-07,321,147,5,31.85,5.00,159.23,Online
2023-03-24,324,134,1,784.86,1.00,784.86,Online
2025-01-14,324,88,3,226.82,19.00,680.47,Online
2013-05-21,325,120,3,422.54,37.00,1267.61,"Loja Física"
2015-07-20,325,107,1,170.23,37.00,170.23,"Loja Física"
2017-04-20,325,4,4,301.58,16.00,1206.31,"Loja Física"
2023-03-10,327,2,1,912.30,27.00,912.30,Online
2023-10-09,327,73,2,45.87,28.00,91.74,Online
2021-11-28,328,26,2,65.41,31.00,130.81,Online
2022-04-25,328,17,3,40.21,38.00,120.62,Online
2023-08-19,330,75,1,25.26,15.00,25.26,Online
2024-05-27,331,131,4,213.54,22.00,854.15,Online
2021-11-05,334,156,4,85.49,36.00,341.94,Online
2024-04-03,334,107,2,678.83,32.00,1357.66,Online
2025-03-04,334,80,5,247.67,24.00,1238.36,Online
2022-04-07,335,67,2,448.47,44.00,896.93,Online
2023-10-18,335,157,3,174.71,13.00,524.14,Online
2021-11-01,336,152,3,289.09,32.00,867.26,Online
2021-02-22,337,133,1,799.70,11.00,799.70,Online
2021-11-24,337,70,5,87.08,25.00,435.41,Online
2022-05-05,337,76,4,159.02,44.00,636.08,Online
2024-10-07,337,167,1,691.64,38.00,691.64,Online
2021-10-09,338,11,3,441.47,20.00,1324.42,Online
2022-12-05,338,15,4,322.22,44.00,1288.88,Online
2021-12-31,339,62,4,122.28,5.00,489.11,Online
2022-01-16,341,123,3,398.73,40.00,1196.20,Online
2021-04-21,342,101,2,623.96,16.00,1247.92,Online
2021-09-06,342,29,1,352.42,29.00,352.42,Online
2019-12-04,343,96,3,304.24,27.00,912.72,"Loja Física"
2024-06-15,343,107,1,769.57,41.00,769.57,Online
2024-02-04,346,79,4,270.49,7.00,1081.96,Online
2022-01-08,347,116,5,256.08,43.00,1280.39,Online
2024-09-12,347,130,2,673.02,33.00,1346.04,Online
2024-11-24,348,38,4,171.18,9.00,684.71,Online
2022-04-09,349,71,1,36.16,47.00,36.16,Online
2024-10-01,349,121,3,379.34,6.00,1138.01,Online
2023-03-11,350,154,5,168.94,2.00,844.68,Online
2023-06-14,352,42,1,1124.12,6.00,1124.12,Online
2023-09-23,352,12,5,86.91,37.00,434.56,Online
2025-03-02,352,104,1,216.05,35.00,216.05,Online
2022-02-01,354,169,1,688.38,12.00,688.38,Online
2022-12-28,354,142,5,158.15,11.00,790.73,Online
2024-03-04,354,41,5,246.37,8.00,1231.87,Online
2024-09-18,356,8,5,198.69,48.00,993.44,Online
2010-07-28,357,76,1,103.52,50.00,103.52,"Loja Física"
2016-05-18,357,14,5,240.90,30.00,1204.52,"Loja Física"
2017-05-27,357,124,1,272.69,42.00,272.69,"Loja Física"
2019-08-04,357,65,3,418.23,2.00,1254.70,"Loja Física"
2022-02-28,357,84,3,229.15,23.00,687.46,Online
2023-04-30,357,125,1,383.19,14.00,383.19,Online
2022-09-27,358,145,4,133.45,29.00,533.81,Online
2021-12-01,359,54,1,589.25,46.00,589.25,Online
2022-12-28,359,32,3,427.17,6.00,1281.52,Online
2023-08-21,359,55,1,828.90,49.00,828.90,Online
2024-04-22,359,47,3,337.44,23.00,1012.33,Online
2022-01-27,361,157,4,257.40,28.00,1029.58,Online
2022-10-17,361,54,3,308.14,5.00,924.43,Online
2022-01-29,362,138,4,189.51,38.00,758.03,Online
2023-05-29,362,57,5,265.99,33.00,1329.94,Online
2023-10-20,362,148,4,363.83,12.00,1455.31,Online
2021-08-30,363,105,1,136.35,30.00,136.35,Online
2024-01-29,363,28,1,534.82,36.00,534.82,Online
2024-12-16,363,169,5,12.11,46.00,60.57,Online
2021-03-21,364,76,2,316.29,48.00,632.57,Online
2021-11-02,364,163,4,60.12,2.00,240.47,Online
2022-03-10,364,35,3,21.79,10.00,65.37,Online
2021-01-25,366,70,5,74.07,15.00,370.36,Online
2024-07-19,367,72,5,78.53,6.00,392.63,Online
2012-03-26,368,125,1,886.34,6.00,886.34,"Loja Física"
2021-05-13,368,62,3,466.74,10.00,1400.21,Online
2021-04-12,369,102,5,65.21,6.00,326.05,Online
2022-12-12,369,88,4,350.95,9.00,1403.80,Online
2024-02-02,369,66,3,189.70,49.00,569.10,Online
2025-03-29,370,110,5,66.07,23.00,330.34,Online
2020-05-11,375,40,1,73.85,1.00,73.85,"Loja Física"
2022-11-06,375,94,2,250.94,10.00,501.87,Online
2021-07-05,376,132,2,689.58,50.00,1379.16,Online
2023-02-10,377,17,5,115.30,38.00,576.51,Online
2023-04-05,377,67,1,269.86,29.00,269.86,Online
2011-05-24,379,77,5,75.07,43.00,375.34,"Loja Física"
2013-10-05,379,113,5,114.47,24.00,572.36,"Loja Física"
2016-02-29,379,73,3,176.85,19.00,530.55,"Loja Física"
2020-08-11,379,125,4,272.81,14.00,1091.22,"Loja Física"
2022-08-01,379,172,4,253.28,18.00,1013.10,Online
2023-02-26,380,138,2,522.83,7.00,1045.65,Online
2023-05-23,381,51,2,209.81,16.00,419.62,Online
2022-12-13,382,3,1,1429.78,16.00,1429.78,Online
2022-04-17,384,115,4,249.48,45.00,997.90,Online
2022-11-12,384,151,2,528.46,42.00,1056.92,Online
2023-04-04,384,22,3,233.27,24.00,699.82,Online
2025-01-19,384,146,1,244.36,29.00,244.36,Online
2024-02-28,385,86,5,192.54,4.00,962.69,Online
2024-12-08,385,72,2,265.74,14.00,531.48,Online
2025-02-11,385,129,4,158.53,44.00,634.13,Online
2021-12-13,386,89,4,53.97,23.00,215.86,Online
2023-01-14,386,90,5,292.99,19.00,1464.94,Online
2021-05-04,387,98,1,204.42,35.00,204.42,Online
2021-08-07,387,28,2,416.91,18.00,833.81,Online
2023-06-02,387,95,4,105.40,19.00,421.59,Online
2023-11-04,388,59,4,57.92,22.00,231.69,Online
2025-01-24,388,51,1,400.95,27.00,400.95,Online
2015-10-29,390,128,2,70.12,25.00,140.23,"Loja Física"
2018-07-16,390,140,1,1036.00,47.00,1036.00,"Loja Física"
2020-06-23,390,129,2,172.87,3.00,345.73,"Loja Física"
